Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,758,758.000,745,4621,6527,45573,9970,14057,679626,787976,797698
1,772,772.000,695,4009,6442,7062,9456,11902,14881,19642,24140
2,1184,1184.000,573,4102,6273,16892,9239,11898,14788,599746,610446
3,1281,1281.000,541,3651,6019,15555,9074,12143,15667,575928,589530
4,1817,1817.000,552,3510,5556,10987,8509,11296,14184,427272,437929
5,1908,1908.000,480,3447,5504,10488,8386,11239,14616,409544,422118
6,2290,2290.000,518,3279,5107,8731,8187,10567,13248,26103,332518
7,3148,3148.000,479,3286,5873,6363,8691,11171,13423,17085,22748
8,2208,2208.000,504,4761,7250,9037,9925,12762,15543,81738,107119
9,2918,2918.000,482,3838,6567,6839,9001,11683,14247,17637,20330
10,3162,3162.000,461,3493,5847,6311,8390,10988,13370,16511,20951
11,3437,3437.000,498,3211,5101,5823,7858,9958,12692,16479,19928
12,2579,2579.000,529,4209,7255,7755,10227,13775,16199,20529,26783
13,2908,2908.000,515,4023,6488,6864,9048,11400,13837,17360,22108
14,3047,3047.000,480,3616,6096,6571,8798,11223,13780,17655,25469
15,3195,3195.000,474,3428,5627,6242,8324,10797,13429,17406,27161
16,3335,3335.000,461,3198,5481,5990,8020,10447,12842,16726,26751
17,2711,2711.000,508,4505,6939,7369,9631,12320,14414,18088,26902
18,3091,3091.000,514,3663,6170,6470,8563,11038,13261,16255,22065
19,3288,3288.000,425,3322,5549,6072,8104,10545,13247,16433,23546
20,3310,3310.000,475,3296,5459,6045,8132,10538,13583,16256,23054
21,2949,2949.000,498,3683,6324,6774,9022,12029,13885,17079,23418
22,2813,2813.000,469,3945,6273,7092,9028,11718,14116,20850,62559
23,3073,3073.000,467,3653,6098,6512,8651,11306,13517,16683,24041
24,3269,3269.000,473,3343,5647,6102,8111,10530,13368,16989,22565
25,3463,3463.000,497,3239,5206,5776,7742,9922,11953,16094,21453
26,2619,2619.000,481,4405,7265,7638,10021,12736,14758,20207,37954
27,3133,3133.000,457,3684,6016,6369,8430,10736,12828,16206,22024
28,3200,3200.000,477,3467,5909,6264,8325,10712,12923,16681,25045
29,3111,3111.000,496,3325,5604,6409,8303,10399,13113,17748,77053
30,3499,3499.000,463,3081,5002,5705,7732,9939,12296,16559,26447
31,2791,2791.000,473,4416,6948,7163,9451,11870,13821,17188,23813
